iter	RMSE
0	6.341492276
1	6.177822998
2	6.01730672
3	5.856450601
4	5.701293752
5	5.559523635
6	5.419156894
7	5.274016771
8	5.150902765
9	5.014118287
10	4.887420291
11	4.761286308
12	4.64140918
13	4.530150356
14	4.4167654
15	4.318483281
16	4.205311634
17	4.106857478
18	3.994711364
19	3.895634337
20	3.798113506
21	3.710054726
22	3.619932232
23	3.531614631
24	3.443334206
25	3.363614426
26	3.278910463
27	3.199650309
28	3.122428604
29	3.045046415
30	2.971161722
31	2.901409624
32	2.829948234
33	2.761960398
34	2.701559645
35	2.637788295
36	2.578704554
37	2.521182584
38	2.464470737
39	2.408895299
40	2.355132145
41	2.303956908
42	2.251933182
43	2.203991804
44	2.155878889
45	2.108124499
46	2.06146446
47	2.017647233
48	1.974285008
49	1.933384215
50	1.891977575
51	1.850886299
52	1.811715493
53	1.773744164
54	1.739753079
55	1.705977872
56	1.671930477
57	1.640155896
58	1.609724085
59	1.580904472
60	1.552317314
61	1.524148129
62	1.49707288
63	1.470812872
64	1.444690039
65	1.421042877
66	1.398590467
67	1.374962138
68	1.354857728
69	1.334005684
70	1.312633871
71	1.292820749
72	1.272444975
73	1.253759729
74	1.235433253
75	1.218577409
76	1.201873998
77	1.186298077
78	1.170470234
79	1.155610576
80	1.141280606
81	1.126616962
82	1.113582561
83	1.102066537
84	1.089771265
85	1.078208075
86	1.066424268
87	1.055150205
88	1.043580122
89	1.03349775
90	1.025120667
91	1.015901948
92	1.00659684
93	0.9980961971
94	0.9907543009
95	0.9826739883
96	0.9749422082
97	0.9679782274
98	0.9615850655
99	0.9553096907
100	0.9494236719
101	0.9433418696
102	0.9381342543
103	0.9329620162
104	0.927865062
105	0.9227484057
106	0.9164522602
107	0.912054981
108	0.9071403425
109	0.9027703126
110	0.898623318
111	0.8948882086
112	0.8912711335
113	0.8868383081
114	0.8837430114
115	0.8799025463
116	0.8760568
117	0.8728380039
118	0.869891313
119	0.8668047628
120	0.8638455279
121	0.8609474582
122	0.8579127153
123	0.8549637355
124	0.8509806953
125	0.8484794297
126	0.846385959
127	0.8444939972
128	0.8418838708
129	0.8397732301
130	0.8378317088
131	0.8362757381
132	0.8338101048
133	0.8319140264
134	0.8304196716
135	0.828970771
136	0.8268765083
137	0.8253508529
138	0.8233405808
139	0.8216422483
140	0.8207261327
141	0.8192738817
142	0.8180156954
143	0.8166316993
144	0.8149832465
145	0.8138012245
146	0.8123775094
147	0.8101263079
148	0.8088195911
149	0.8078451341
150	0.8064511977
151	0.8052350595
152	0.804369459
153	0.8027174021
154	0.8018833471
155	0.8009517236
156	0.8002544607
157	0.7995505056
158	0.7984612917
159	0.7974636063
160	0.7963427255
161	0.7955549541
162	0.7945614463
163	0.7936079807
164	0.7926943969
165	0.79191971
166	0.7907057297
167	0.7900716788
168	0.7893519851
169	0.7884248548
170	0.7875874621
171	0.7872199919
172	0.7868995936
173	0.7860433417
174	0.7850997107
175	0.7844337823
176	0.7838203752
177	0.7833108933
178	0.7830213784
179	0.7823359592
180	0.7819088002
181	0.7811689947
182	0.780554204
183	0.779776423
184	0.7791308066
185	0.7786167572
186	0.7778153345
187	0.7770942025
188	0.7767895517
189	0.7761170664
190	0.7758831777
191	0.7754909091
192	0.7749328183
193	0.7744337165
194	0.7737132866
195	0.7730985302
196	0.7724747314
197	0.7720058856
198	0.7717813085
199	0.7715007121
200	0.7711586236
201	0.7706990901
202	0.7704830435
203	0.769638974
204	0.7693073691
205	0.7687534436
206	0.7686748012
207	0.7682475
208	0.7680217809
209	0.7674594209
210	0.7669871287
211	0.7664637066
212	0.7658393937
213	0.7655081792
214	0.7649424983
215	0.7647824088
216	0.7644070852
217	0.7639241773
218	0.7635675435
219	0.7633409599
220	0.7631208103
221	0.7627353579
222	0.7622663302
223	0.7618310889
224	0.761585829
225	0.7610569557
226	0.7608491387
227	0.7604889407
228	0.7603099172
229	0.7599912588
230	0.7595371408
231	0.7594226128
232	0.7592610105
233	0.7588180387
234	0.7585703182
235	0.758353245
236	0.7582672647
237	0.7581797679
238	0.7581111977
239	0.7580530838
240	0.7577902684
241	0.7576424039
242	0.7573699548
243	0.7571491514
244	0.7568524658
245	0.7565045826
246	0.7562728667
247	0.7560879067
248	0.7558851683
249	0.7557229534
250	0.7555957446
251	0.7554961268
252	0.7553556089
253	0.7552862116
254	0.7550635634
255	0.755002181
256	0.7547264309
257	0.7546663151
258	0.7545316489
259	0.7544676052
260	0.7543374496
261	0.7540922467
262	0.753824426
263	0.7537186533
264	0.75371247
265	0.7536798338
266	0.7532329617
267	0.7529489587
