iter	Passed	Remaining
0	9	9862
1	16	8329
2	23	7941
3	30	7589
4	36	7295
5	43	7242
6	50	7137
7	57	7080
8	63	6993
9	69	6921
10	76	6906
11	83	6859
12	89	6823
13	97	6834
14	103	6781
15	110	6789
16	118	6858
17	125	6826
18	127	6596
19	134	6610
20	141	6604
21	148	6592
22	155	6584
23	161	6578
24	168	6560
25	175	6569
26	182	6593
27	189	6568
28	195	6550
29	201	6523
30	208	6503
31	214	6497
32	221	6486
33	228	6483
34	236	6515
35	242	6498
36	249	6503
37	256	6483
38	263	6482
39	269	6469
40	276	6456
41	282	6448
42	288	6430
43	295	6416
44	301	6397
45	308	6388
46	314	6380
47	321	6372
48	327	6362
49	334	6353
50	340	6340
51	348	6357
52	354	6341
53	361	6335
54	368	6330
55	375	6328
56	382	6322
57	388	6312
58	395	6305
59	402	6299
60	409	6298
61	415	6288
62	421	6275
63	428	6273
64	435	6264
65	442	6256
66	448	6246
67	451	6187
68	457	6176
69	464	6166
70	470	6155
71	477	6150
72	484	6150
73	487	6101
74	490	6053
75	497	6047
76	503	6039
77	510	6033
78	517	6030
79	523	6023
80	526	5972
81	532	5963
82	539	5964
83	546	5962
84	553	5958
85	559	5950
86	566	5948
87	570	5913
88	577	5910
89	579	5864
90	586	5856
91	593	5854
92	597	5824
93	603	5817
94	610	5812
95	616	5804
96	623	5800
97	627	5776
98	634	5772
99	637	5738
100	644	5738
101	651	5734
102	657	5728
103	664	5724
104	667	5685
105	674	5691
106	681	5688
107	688	5685
108	691	5654
109	697	5646
110	704	5642
111	710	5635
112	717	5632
113	724	5629
114	731	5628
115	738	5624
116	744	5617
117	751	5615
118	757	5609
119	764	5605
120	771	5600
121	777	5598
122	784	5594
123	791	5588
124	794	5564
125	801	5556
126	807	5553
127	814	5548
128	821	5548
129	828	5545
130	835	5539
131	841	5535
132	848	5528
133	854	5521
134	861	5518
135	864	5491
136	871	5487
137	877	5479
138	883	5473
139	890	5470
140	893	5441
141	903	5459
142	909	5451
143	916	5447
144	923	5443
145	929	5437
146	936	5433
147	942	5426
148	949	5420
149	955	5416
150	962	5412
151	969	5407
152	975	5401
153	982	5398
154	985	5374
155	992	5368
156	1000	5373
157	1011	5387
158	1018	5386
159	1028	5400
160	1035	5394
161	1042	5392
162	1050	5392
163	1056	5384
164	1063	5379
165	1069	5373
166	1076	5369
167	1084	5371
168	1091	5367
169	1097	5360
170	1104	5353
171	1107	5333
172	1111	5312
173	1117	5306
174	1124	5301
175	1131	5296
176	1134	5274
